DOG_ID,mAP,Total_Vids,Query_Vids,Gallery_Vids,Avg_Resolution,Avg_Width,Avg_Height,Avg_Duration_Sec
af71282c-873b-4c3c-8398-f5cb22aac102,1.0,2,1,1,1080x1920,1080.0,1920.0,1.63
2bfe9460-bf97-48e3-b258-4ac5233e3f55,0.9791666666666666,5,4,1,1008x1792,1008.0,1792.0,11.81
83bd4a16-7033-49cf-914d-74baf4afdc21,0.9726851851851852,5,2,3,1080x1920,1080.0,1920.0,14.01
05468985-0eb6-4493-8cad-970e51ca9128,0.9629629629629629,5,3,2,1728x3072,1728.0,3072.0,7.01
a6c4d7b5-08ff-4530-8b51-c1470cbe35ac,0.9569444444444445,5,1,4,1080x1920,1080.0,1920.0,11.81
707d71ba-06f4-4566-8232-05bf39cd5047,0.9563492063492064,5,2,3,1080x1920,1080.0,1920.0,10.43
72b8f97d-3149-48a4-819a-05ba5ad7952e,0.9485119047619047,9,5,4,1492x2151,1492.0,2151.0,12.15
e25b07af-c083-4a8f-a730-2fa62a0ce01e,0.9444444444444444,4,3,1,1080x1920,1080.0,1920.0,11.76
a79f2595-3297-4436-976a-f4f75493c6d2,0.9444444444444443,5,2,3,1099x1722,1099.0,1722.0,8.81
bc6bc162-5040-4472-85b3-d22cd3cafdc2,0.9403846153846155,5,3,2,1080x1920,1080.0,1920.0,6.14
a8dabff3-56fe-4737-a2f6-a8ca009d5243,0.9164351851851852,5,2,3,1416x1584,1416.0,1584.0,16.46
8ffdd60f-39eb-4231-9e42-4025d248c494,0.9086275314723591,4,2,2,720x1278,720.0,1278.0,23.23
c4231883-64fc-43fe-8bb6-013303fdc2f3,0.9083333333333333,5,2,3,1080x1920,1080.0,1920.0,11.77
ea31df34-0f90-4c4c-9b74-f1d438f82132,0.9046296296296296,5,3,2,1080x1920,1080.0,1920.0,12.17
1747ddc7-82e8-4f54-9699-1bee70811f3b,0.9025793650793651,5,1,4,938x1706,938.0,1706.0,20.3
2edc859f-b65a-4998-a3cb-403ac049d4eb,0.8958694083694083,5,2,3,1080x1920,1080.0,1920.0,18.6
c8129fb9-4ec6-43f4-9a43-1b61862c73bf,0.887037037037037,4,2,2,1080x1920,1080.0,1920.0,3.48
ac0d4962-fcc1-495a-a941-02e8ed534ea8,0.8795584045584045,5,2,3,1248x1752,1248.0,1752.0,12.25
c80ed64b-f54b-40f1-ae91-994653a341e4,0.8765980887304416,5,2,3,1656x2944,1656.0,2944.0,7.48
d519537a-6891-41c2-aa95-866b27e8618f,0.8634781711536097,5,3,2,1539x2051,1539.0,2051.0,7.35
8ce29d6d-a164-4792-ada9-b85f7fa13851,0.8446540915940557,6,3,3,1080x1920,1080.0,1920.0,10.23
4302e040-4e92-4530-a28b-b94deea07df4,0.8425505050505051,5,3,2,1080x1920,1080.0,1920.0,5.05
45218355-2e04-4f4a-a8ab-0081b654bdeB,0.8333333333333334,2,1,1,1080x1920,1080.0,1920.0,24.34
d2dc4dd7-4ad0-44e3-b2c9-989b25d5f5dB,0.8333333333333334,2,1,1,2160x3840,2160.0,3840.0,1.89
849357eb-bc20-4603-8639-88232062047b,0.8324074074074074,4,3,1,1080x1920,1080.0,1920.0,23.9
50d27402-1547-43d1-a9cc-7d30befa1c30,0.8055555555555555,2,1,1,780x1280,780.0,1280.0,6.5
1d20c9ac-752b-42ed-9ba4-11a42001d409,0.8047138047138048,3,2,1,960x1707,960.0,1707.0,24.78
c985f8c7-e607-4b75-8a23-8734035bb346,0.8005885545101231,5,3,2,1008x1792,1008.0,1792.0,12.77
56f18639-9491-46f1-9c0d-7eef3649fe9f,0.794485294117647,4,1,3,1290x1710,1290.0,1710.0,9.42
597ef5db-c102-44a1-9821-021cfbc45a87,0.791801948051948,4,2,2,1040x1460,1040.0,1460.0,7.97
12442dfc-3032-4d4d-8744-f88632e61efa,0.7908512205387206,6,2,4,1113x1720,1113.0,1720.0,8.53
e0553a69-3fca-42ce-8bbc-6ab784b7169c,0.7858730158730158,4,2,2,1350x1232,1350.0,1232.0,13.65
ed6977aa-bdf2-4816-9a55-5c2d665bdb70,0.7840302985693057,5,2,3,706x1142,706.0,1142.0,10.28
5fece7f7-14a9-41e4-a95e-fd09fb811e54,0.782801978114478,4,2,2,1313x1560,1313.0,1560.0,3.73
4f5bcb33-2443-4900-bb1f-4e304b4e2d1c,0.7707417582417583,5,1,4,750x1334,750.0,1334.0,8.02
e90362b8-25a7-4cd1-84f4-bf08a0dec416,0.7690008759784542,5,2,3,1128x1538,1128.0,1538.0,12.37
69051add-780a-4d94-badc-5db73c898c08,0.768358181278742,4,2,2,1080x1920,1080.0,1920.0,3.35
5b07f0f2-c936-4b53-b9a8-50d442516384,0.7639779202279202,5,1,4,936x1664,936.0,1664.0,10.28
ebe3a4d0-7a6c-494e-a7c1-9ddc9eb5216d,0.7619111212861213,5,1,4,1080x1920,1080.0,1920.0,6.58
04acc452-fb04-4ca0-a471-15f33c045da2,0.7610033226321379,9,5,4,1072x1920,1072.0,1920.0,10.39
96555a80-1904-4d46-8c8e-b67baf9ab8f3,0.7511489146220286,3,2,1,1621x912,1621.0,912.0,7.33
1bc9e4bc-b049-4102-bc51-f9afc80af6ec,0.7464737771586175,4,2,2,1080x1920,1080.0,1920.0,5.4
c6c35773-1dea-4a97-92de-d92d21619fe2,0.7460611442141615,5,2,3,2160x3840,2160.0,3840.0,4.29
51476beb-ee55-4d31-9921-97fcbf994736,0.7407944276407306,5,1,4,1584x1416,1584.0,1416.0,7.92
efc9fee9-d87e-49a8-b34e-ac03acfd44ad,0.7394959876718,8,4,4,1080x1920,1080.0,1920.0,17.23
b70fb590-2a9f-4449-b98e-fd6080375e50,0.7366973304473304,5,1,4,504x768,504.0,768.0,16.5
2d0e8a29-5466-4e05-82ff-346bc446fe61,0.7261904761904762,3,2,1,1707x960,1707.0,960.0,12.69
bd22592e-9294-4129-884d-ba39581e0944,0.707575295075295,5,2,3,1944x3456,1944.0,3456.0,6.74
431192f9-827b-463c-b8d2-dbc4df9cb6e4,0.7073347446527416,5,2,3,1080x1920,1080.0,1920.0,16.33
448048e7-7f68-4665-8661-70564634db1f,0.7046326358826359,5,2,3,1242x1752,1242.0,1752.0,15.21
13daec40-0bc9-45f3-9a9e-88597714a037,0.7030938472135393,5,2,3,1080x1920,1080.0,1920.0,7.93
3e911291-e33e-4c39-b352-6e4e1fb13db1,0.697932503150811,5,3,2,792x1407,792.0,1407.0,17.11
32030c5f-88f5-449e-8de4-32d8298fdf1d,0.694762282017184,6,3,3,740x1347,740.0,1347.0,8.95
4bc56439-70cd-4459-aa24-eff1d7ac7632,0.6908411142234671,4,2,2,1080x1920,1080.0,1920.0,13.79
